Host, Hop 0, Hop 1, Hop 2, Hop 3, Hop 4, Hop 5, Hop 6, Hop 7, Hop 8, Hop 9,
speedtest.frontier.com, eroute to, 192.168.3.1 (192.168.3.1), 74-46-68-1.dsl1-erie.roch.ny.frontiernet.net (74.46.68.1), vlan40.br2.roch.ny.frontiernet.net (74.44.233.19), static-66-133-170-190.br1.roch.ny.frontiernet.net (66.133.170.190), vips.bigip01a.roch.ny.frontiernet.net (66.133.129.106), * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, vips.bigip01a.roch.ny.frontiernet.net (66.133.129.106)
elkgrove.ca.speedtest.frontier.com, eroute to, 192.168.3.1 (192.168.3.1), 74-46-68-1.dsl1-erie.roch.ny.frontiernet.net (74.46.68.1), vlan40.br2.roch.ny.frontiernet.net (74.44.233.19), ge-3-0--0.ar04.roch.ny.frontiernet.net (65.73.205.13), ge--7-1-0---0.car01.roch.ny.frontiernet.net (74.45.102.5), xe--2-2-0---0.cor02.roch.ny.frontiernet.net (74.40.5.181), ae1---0.cor01.chcg.il.frontiernet.net (74.40.5.22), ae0---0.cor02.chcg.il.frontiernet.net (74.40.3.242), ae3---0.cor01.slkc.ut.frontiernet.net (74.40.5.58), * ae1---0.cor02.plal.ca.frontiernet.net, ae0---0.cor01.plal.ca.frontiernet.net (74.40.5.41), ae1--3--ge.arr02.mybh.sc.frontiernet.net (74.40.2.190), vips.bigip01b.ekgv.ca.frontiernet.net (66.133.189.212), vips.bigip01b.ekgv.ca.frontiernet.net (66.133.189.212)
paloalto.ca.speedtest.frontier.com, eroute to, 192.168.3.1 (192.168.3.1), 74-46-68-1.dsl1-erie.roch.ny.frontiernet.net (74.46.68.1), vlan40.br2.roch.ny.frontiernet.net (74.44.233.19), ge-3-0--0.ar04.roch.ny.frontiernet.net (65.73.205.13), ge--7-1-0---0.car01.roch.ny.frontiernet.net (74.45.102.5), xe--2-2-0---0.cor02.roch.ny.frontiernet.net (74.40.5.181), ae1---0.cor01.chcg.il.frontiernet.net (74.40.5.22), ae0---0.cor02.chcg.il.frontiernet.net (74.40.3.242), ae3---0.cor01.slkc.ut.frontiernet.net (74.40.5.58), ae1---0.cor02.plal.ca.frontiernet.net (74.40.5.61), ae1---0.cbr01.plal.ca.frontiernet.net (74.40.3.170), speedtest01.plal.ca.frontiernet.net (50.39.1.13)
atlanta.ga.speedtest.frontier.com, eroute to, 192.168.3.1 (192.168.3.1), 74-46-68-1.dsl1-erie.roch.ny.frontiernet.net (74.46.68.1), vlan40.br2.roch.ny.frontiernet.net (74.44.233.19), ge-3-0--0.ar04.roch.ny.frontiernet.net (65.73.205.13), ge--7-1-0---0.car01.roch.ny.frontiernet.net (74.45.102.5), xe--2-2-0---0.cor01.roch.ny.frontiernet.net (74.40.5.73), ae3---0.cor02.asbn.va.frontiernet.net (74.40.5.18), ae3---0.cor02.atln.ga.frontiernet.net (74.40.2.197), ae0---0.cbr01.atln.ga.frontiernet.net (74.40.2.82), speedtest01.atln.ga.frontiernet.net (74.40.30.45)
chicago.il.speedtest.frontier.com, eroute to, 192.168.3.1 (192.168.3.1), * 74-46-68-1.dsl1-erie.roch.ny.frontiernet.net, vlan40.br2.roch.ny.frontiernet.net (74.44.233.19), ge-3-1--0.ar04.roch.ny.frontiernet.net (65.73.205.5), ge--7-1-0---0.car01.roch.ny.frontiernet.net (74.45.102.5), xe--2-2-0---0.cor02.roch.ny.frontiernet.net (74.40.5.181), ae1---0.cor01.chcg.il.frontiernet.net (74.40.5.22), ae0---0.cbr01.chcg.il.frontiernet.net (74.40.4.138), speedtest01.chcg.il.frontiernet.net (74.40.43.221)
lakeville.mn.speedtest.frontier.com, eroute to, 192.168.3.1 (192.168.3.1), 74-46-68-1.dsl1-erie.roch.ny.frontiernet.net (74.46.68.1), vlan40.br2.roch.ny.frontiernet.net (74.44.233.19), ge-3-1--0.ar04.roch.ny.frontiernet.net (65.73.205.5), ge--7-1-0---0.car01.roch.ny.frontiernet.net (74.45.102.5), xe--2-2-0---0.cor02.roch.ny.frontiernet.net (74.40.5.181), ae1---0.cor01.chcg.il.frontiernet.net (74.40.5.22), ae1---0.cor01.lkvl.mn.frontiernet.net (74.40.5.49), ge--7-0-0---0.car01.lkvl.mn.frontiernet.net (74.40.4.122), external.bigip01b.lkvl.mn.frontiernet.net (66.133.150.4), * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *
rochester.ny.speedtest.frontier.com, eroute to, 192.168.3.1 (192.168.3.1), 74-46-68-1.dsl1-erie.roch.ny.frontiernet.net (74.46.68.1), vlan40.br2.roch.ny.frontiernet.net (74.44.233.19), static-66-133-170-190.br1.roch.ny.frontiernet.net (66.133.170.190), vips.bigip01a.roch.ny.frontiernet.net (66.133.129.106), * *, * *, * *, * *, * *, * vips.bigip01a.roch.ny.frontiernet.net
ashburn.va.speedtest.frontier.com, eroute to, 192.168.3.1 (192.168.3.1), 74-46-68-1.dsl1-erie.roch.ny.frontiernet.net (74.46.68.1), vlan40.br2.roch.ny.frontiernet.net (74.44.233.19), ge-3-0--0.ar04.roch.ny.frontiernet.net (65.73.205.13), ge--7-1-0---0.car01.roch.ny.frontiernet.net (74.45.102.5), * xe--2-2-0---0.cor01.roch.ny.frontiernet.net, ae3---0.cor02.asbn.va.frontiernet.net (74.40.5.18), ae0---0.cbr01.asbn.va.frontiernet.net (74.40.2.178), speedtest01.asbn.va.frontiernet.net (70.100.34.85)
everett.wa.speedtest.frontier.com, eroute to, 192.168.3.1 (192.168.3.1), 74-46-68-1.dsl1-erie.roch.ny.frontiernet.net (74.46.68.1), vlan40.br2.roch.ny.frontiernet.net (74.44.233.19), ge-3-1--0.ar04.roch.ny.frontiernet.net (65.73.205.5), ge--7-1-0---0.car01.roch.ny.frontiernet.net (74.45.102.5), xe--2-2-0---0.cor02.roch.ny.frontiernet.net (74.40.5.181), * ae1---0.cor01.chcg.il.frontiernet.net, ae1---0.cor01.lkvl.mn.frontiernet.net (74.40.5.49), ae0---0.cor01.mond.mn.frontiernet.net (74.40.5.54), * xe-11-0-0--0.cor02.sttl.wa.frontiernet.net, ae0---0.car01.evrt.wa.frontiernet.net (74.40.1.102), * 50.34.2.42, 184.16.35.66 (184.16.35.66)
seattle.wa.speedtest.frontier.com, eroute to, 192.168.3.1 (192.168.3.1), 74-46-68-1.dsl1-erie.roch.ny.frontiernet.net (74.46.68.1), vlan40.br2.roch.ny.frontiernet.net (74.44.233.19), ge-3-1--0.ar04.roch.ny.frontiernet.net (65.73.205.5), ge--7-1-0---0.car01.roch.ny.frontiernet.net (74.45.102.5), xe--2-2-0---0.cor02.roch.ny.frontiernet.net (74.40.5.181), ae1---0.cor01.chcg.il.frontiernet.net (74.40.5.22), ae1---0.cor01.lkvl.mn.frontiernet.net (74.40.5.49), ae0---0.cor01.mond.mn.frontiernet.net (74.40.5.54), xe-11-0-0--0.cor02.sttl.wa.frontiernet.net (74.40.5.46), ae1---0.cbr01.sttl.wa.frontiernet.net (74.40.5.126), speedtest01.sttl.wa.frontiernet.net (50.34.1.13)
frontier.com, eroute to, 192.168.3.1 (192.168.3.1), 74-46-68-1.dsl1-erie.roch.ny.frontiernet.net (74.46.68.1), vlan40.br2.roch.ny.frontiernet.net (74.44.233.19), ge-3-0--0.ar04.roch.ny.frontiernet.net (65.73.205.13), * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *
google.com, eroute to, 192.168.3.1 (192.168.3.1), 74-46-68-1.dsl1-erie.roch.ny.frontiernet.net (74.46.68.1), vlan40.br2.roch.ny.frontiernet.net (74.44.233.19), ge-3-0--0.ar04.roch.ny.frontiernet.net (65.73.205.13), ge--7-1-0---0.car01.roch.ny.frontiernet.net (74.45.102.5), xe--2-2-0---0.cor01.roch.ny.frontiernet.net (74.40.5.73), ae3---0.cor02.asbn.va.frontiernet.net (74.40.5.18), ae0---0.cbr01.asbn.va.frontiernet.net (74.40.2.178), 72.14.213.133 (72.14.213.133), 216.239.46.250 (216.239.46.250), 72.14.238.253 (72.14.238.253), iad23s08-in-f8.1e100.net (74.125.228.104)
yahoo.com, eroute to, 192.168.3.1 (192.168.3.1), 74-46-68-1.dsl1-erie.roch.ny.frontiernet.net (74.46.68.1), vlan40.br2.roch.ny.frontiernet.net (74.44.233.19), ge-3-1--0.ar04.roch.ny.frontiernet.net (65.73.205.5), ge--7-1-0---0.car01.roch.ny.frontiernet.net (74.45.102.5), xe--2-2-0---0.cor01.roch.ny.frontiernet.net (74.40.5.73), ae3---0.cor02.asbn.va.frontiernet.net (74.40.5.18), ae0---0.cbr01.asbn.va.frontiernet.net (74.40.2.178), 206.126.236.16 (206.126.236.16), ae-6.pat1.che.yahoo.com (216.115.96.81), ae-5.pat1.nez.yahoo.com (216.115.96.76), xe-5-0-0.msr1.ne1.yahoo.com (216.115.100.1), xe-7-0-0.clr2-a-gdc.ne1.yahoo.com (98.138.0.27), et-18-25.fab2-1-gdc.ne1.yahoo.com (98.138.0.93), po-14.bas2-7-prd.ne1.yahoo.com (98.138.240.30), po-14.bas1-7-prd.ne1.yahoo.com (98.138.240.14), * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *
microsoft.com, eroute to, 192.168.3.1 (192.168.3.1), 74-46-68-1.dsl1-erie.roch.ny.frontiernet.net (74.46.68.1), vlan40.br2.roch.ny.frontiernet.net (74.44.233.19), ge-3-0--0.ar04.roch.ny.frontiernet.net (65.73.205.13), * ge--7-1-0---0.car01.roch.ny.frontiernet.net, * xe--2-2-0---0.cor01.roch.ny.frontiernet.net, ae3---0.cor02.asbn.va.frontiernet.net (74.40.5.18), ae0---0.cbr01.asbn.va.frontiernet.net (74.40.2.178), 8057.microsoft.com (206.223.115.17), ge-0-3-0-58.sjc-64cb-1a.ntwk.msn.net (207.46.47.251), xe-0-0-1-0.co1-96c-1b.ntwk.msn.net (207.46.45.29), xe-0-0-0-0.co1-96c-1a.ntwk.msn.net (207.46.33.178), * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *
apple.com, eroute to, 192.168.3.1 (192.168.3.1), 74-46-68-1.dsl1-erie.roch.ny.frontiernet.net (74.46.68.1), vlan40.br2.roch.ny.frontiernet.net (74.44.233.19), ge-3-0--0.ar04.roch.ny.frontiernet.net (65.73.205.13), ge--7-1-0---0.car01.roch.ny.frontiernet.net (74.45.102.5), xe--2-2-0---0.cor01.roch.ny.frontiernet.net (74.40.5.73), ae3---0.cor02.asbn.va.frontiernet.net (74.40.5.18), ae0---0.cbr01.asbn.va.frontiernet.net (74.40.2.178), 74.40.26.179 (74.40.26.179), 216.156.8.189.ptr.us.xo.net (216.156.8.189), 209.48.42.14 (209.48.42.14), * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *, * *
nytimes.com, eroute to, 192.168.3.1 (192.168.3.1), 74-46-68-1.dsl1-erie.roch.ny.frontiernet.net (74.46.68.1), vlan40.br2.roch.ny.frontiernet.net (74.44.233.19), ge-3-1--0.ar04.roch.ny.frontiernet.net (65.73.205.5), ge--7-1-0---0.car01.roch.ny.frontiernet.net (74.45.102.5), xe--2-2-0---0.cor02.roch.ny.frontiernet.net (74.40.5.181), ae1---0.cor01.chcg.il.frontiernet.net (74.40.5.22), ae0---0.cbr01.chcg.il.frontiernet.net (74.40.4.138), mpr1.ord7.us (206.223.119.86), xe-2-3-0.cr1.ord2.us.above.net (64.125.22.209), xe-0-0-0.cr2.ord2.us.above.net (64.125.28.234), xe-1-1-0.mpr2.sea1.us.above.net (64.125.31.1), xe-0-0-0.mpr1.sea1.us.above.net (64.125.31.9), 209.249.122.125 (209.249.122.125)
